fiscal_year,SOAL,_FREQ_
1112,E01000438,462
1112,E01000439,411
1112,E01000440,366
1112,E01000441,672
1112,E01000442,462
1112,E01000443,344
1112,E01000444,411
1112,E01000445,312
1112,E01000446,363
1112,E01000447,463
1112,E01000448,240
1112,E01000449,362
1112,E01000450,608
1112,E01000451,455
1112,E01000452,381
1112,E01000453,455
1112,E01000454,600
1112,E01000455,502
1112,E01000456,384
1112,E01000457,460
1112,E01000458,307
1112,E01000459,438
1112,E01000460,211
1112,E01000461,323
1112,E01000462,582
1112,E01000463,271
1112,E01000464,485
1112,E01000465,561
1112,E01000466,522
1112,E01000467,698
1112,E01000468,1102
1112,E01000469,641
1112,E01000470,558
1112,E01000471,1064
1112,E01000472,913
1112,E01000473,1191
1112,E01000474,1014
1112,E01000475,974
1112,E01000476,1103
1112,E01000477,1286
1112,E01000478,1006
1112,E01000479,658
1112,E01000480,751
1112,E01000481,711
1112,E01000482,1539
1112,E01000483,988
1112,E01000484,529
1112,E01000485,753
1112,E01000486,623
1112,E01000487,855
1112,E01000488,940
1112,E01000489,871
1112,E01000490,705
1112,E01000491,935
1112,E01000492,820
1112,E01000493,981
1112,E01000494,919
1112,E01000495,885
1112,E01000496,966
1112,E01000497,1002
1112,E01000498,1068
1112,E01000499,1064
1112,E01000500,963
1112,E01000501,1239
1112,E01000502,871
1112,E01000503,1087
1112,E01000504,900
1112,E01000505,930
1112,E01000506,1304
1112,E01000507,1156
1112,E01000508,1941
1112,E01000509,963
1112,E01000510,1389
1112,E01000511,1103
1112,E01000512,994
1112,E01000513,547
1112,E01000514,477
1112,E01000515,779
1112,E01000516,555
1112,E01000517,480
1112,E01000518,668
1112,E01000519,727
1112,E01000520,567
1112,E01000521,2229
1112,E01000522,1514
1112,E01000523,2447
1112,E01000524,2594
1112,E01000525,1865
1112,E01000526,2098
1112,E01000527,1853
1112,E01000528,1426
1112,E01000529,2743
1112,E01000530,1175
1112,E01000531,1349
1112,E01000532,1211
1112,E01000533,2274
1112,E01000534,1304
1112,E01000535,1521
1112,E01000536,538
1112,E01000537,446
1112,E01000538,470
1112,E01000539,543
1112,E01000540,557
1112,E01000541,582
1112,E01000542,559
1112,E01000543,532
1112,E01000544,1051
1112,E01000545,944
1112,E01000546,754
1112,E01000547,831
1112,E01000548,1002
1112,E01000549,865
1112,E01000550,1209
1112,E01000551,1376
1112,E01000552,1137
1112,E01000553,1392
1112,E01000554,1013
1112,E01000555,774
1112,E01000556,905
1112,E01000557,895
1112,E01000558,545
1112,E01000559,621
1112,E01000560,622
1112,E01000561,845
1112,E01000562,502
1112,E01000563,540
1112,E01000564,728
1112,E01000565,612
1112,E01000566,471
1112,E01000567,590
1112,E01000568,687
1112,E01000569,578
1112,E01000570,733
1112,E01000571,743
1112,E01000572,593
1112,E01000573,589
1112,E01000574,536
1112,E01000575,708
1112,E01000576,645
1112,E01000577,1100
1112,E01000578,936
